date,mm_long,mm_short,mm_net,open_interest
2013-12-03,93671,83730,9941,386436
2013-12-10,94330,78527,15803,377313
2013-12-17,93399,79637,13762,385432
2013-12-24,93958,82765,11193,384974
2013-12-31,96059,78334,17725,379550
2014-01-07,98659,74421,24238,383021
2014-01-14,104303,76033,28270,415426
2014-01-21,104723,74506,30217,410959
2014-01-28,109782,62544,47238,382739
2014-02-04,107407,63755,43652,368279
2014-02-11,116817,64731,52086,376973
2014-02-18,123273,54503,68770,390535
2014-02-25,127279,31023,96256,387503
2014-03-04,128351,27184,101167,393266
2014-03-11,127797,21766,106031,415340
2014-03-18,137216,16153,121063,420626
2014-03-25,125231,18218,107013,398264
2014-04-01,117969,26516,91453,363451
2014-04-08,109728,28201,81527,365400
2014-04-15,105454,32464,72990,369577
2014-04-22,105681,28575,77106,372593
2014-04-29,106919,29512,77407,378092
2014-05-06,119385,28746,90639,404700
2014-05-13,114561,32107,82454,397029
2014-05-20,112385,31232,81153,399371
2014-05-27,111146,53577,57569,397695
2014-06-03,111245,73063,38182,382141
2014-06-10,111795,73741,38054,378689
2014-06-17,113624,60065,53559,379843
2014-06-24,134571,34641,99930,392388
2014-07-01,149227,23273,125954,401813
2014-07-08,154719,20943,133776,410992
2014-07-15,149260,27173,122087,408368
2014-07-22,148121,22395,125726,405617
2014-07-29,135724,27094,108630,374467
2014-08-05,123819,33140,90679,360342
2014-08-12,138357,21930,116427,368114
2014-08-19,128398,25193,103205,366401
2014-08-26,118012,36830,81182,363608
2014-09-02,116120,53202,62918,371515
2014-09-09,118708,58501,60207,384341
2014-09-16,113659,73364,40295,386080
2014-09-23,110427,80297,30130,385788
2014-09-30,111264,80341,30923,379874
2014-10-07,110064,80201,29863,380087
2014-10-14,123582,81386,42196,397855
2014-10-21,132835,70347,62488,411057
2014-10-28,128420,68353,60067,414410
2014-11-04,113324,74519,38805,417377
2014-11-11,110478,79863,30615,443422
2014-11-18,119566,71166,48400,459657
2014-11-25,113999,59549,54450,388145
2014-12-02,117804,49170,68634,368121
2014-12-09,130648,39985,90663,375323
2014-12-16,127571,35746,91825,371743
2014-12-23,123087,40890,82197,375212
2014-12-30,124928,37878,87050,373982
2015-01-06,128325,34129,94196,394021
2015-01-13,132173,30232,101941,402108
2015-01-20,155602,26261,129341,430128
2015-01-27,173110,19873,153237,438279
2015-02-03,167310,18984,148326,419524
2015-02-10,140835,21298,119537,393232
2015-02-17,128595,32903,95692,389530
2015-02-24,124595,35108,89487,399307
2015-03-03,115279,42320,72959,405124
2015-03-10,107032,58359,48673,410918
2015-03-17,97847,78623,19224,429738
